ProductID,ProductName,Brand,Category,SubCategory,UnitPrice,CostPrice,GrossMargin,StockQty,Rating,TotalReviews,Warranty,IsActive,LaunchDate
P0215,Marshall X93Gold,Marshall,Accessories,Cables,1060,840,20.8%,327,4.8,3036,3 Years,Yes,2021-06-25
P0216,Lava A341TB,Lava,Accessories,Chargers,2560,1380,46.1%,593,4.4,2418,2 Years,Yes,2021-07-31
P0217,LG S64Space Gray,LG,Storage,SSDs,10520,6260,40.5%,701,3.5,4002,6 Months,Yes,2022-12-13
P0218,Bose Max631TB,Bose,Storage,HDDs,4010,3380,15.7%,555,5.0,481,1 Year,Yes,2019-11-01
P0219,Zebronics A53128GB,Zebronics,Storage,Pen Drives,860,420,51.2%,69,4.4,74,2 Years,Yes,2023-03-09
P0220,Dell Neo62Midnight,Dell,Networking,Routers,11800,4600,61.0%,16,2.8,4519,6 Months,Yes,2024-12-08
P0221,Micromax Max3716GB,Micromax,Electronics,Printers,5560,4530,18.5%,714,4.3,1468,1 Year,No,2024-11-17
P0222,JBL S808GB,JBL,Electronics,Cameras,77000,22040,71.4%,362,3.4,3251,1 Year,Yes,2023-07-22
P0223,iQOO S90Space Gray,iQOO,Electronics,Smart TVs,41600,17830,57.1%,700,4.6,660,1 Year,Yes,2023-04-03
P0224,LG Ultra8Green,LG,Accessories,Gaming Gear,10930,450,95.9%,719,3.2,4094,6 Months,Yes,2022-09-18
P0225,Gigabyte Max6512GB,Gigabyte,Accessories,Microphones,4760,1460,69.3%,708,4.8,3895,3 Years,Yes,2019-11-01
P0226,Portronics Max7316GB,Portronics,Electronics,Smartphones,94260,7160,92.4%,183,4.8,2576,1 Year,No,2020-08-13
P0227,TCL X39White,TCL,Electronics,Laptops,46290,36480,21.2%,246,4.0,3187,3 Years,Yes,2020-07-27
P0228,Intex Max96256GB,Intex,Electronics,Tablets,57330,11520,79.9%,100,3.8,622,3 Years,Yes,2023-06-13
P0229,Itel A82,Itel,Electronics,Headphones,18410,13140,28.6%,461,3.9,2914,6 Months,Yes,2023-04-06
P0230,Lenovo Pro32Midnight,Lenovo,Electronics,Earbuds,2710,520,80.8%,274,3.1,1263,6 Months,Yes,2020-03-12
P0231,Lenovo Pro5764GB,Lenovo,Electronics,Speakers,12490,4820,61.4%,104,3.1,1535,6 Months,Yes,2024-09-29
P0232,Google A12512GB,Google,Electronics,Smartwatches,24190,18760,22.4%,95,4.1,2657,6 Months,Yes,2023-08-22
P0233,LG Max32256GB,LG,Electronics,Fitness Bands,5680,1990,65.0%,701,3.6,1137,3 Years,Yes,2024-07-12
P0234,JBL M56256GB,JBL,Electronics,Monitors,25080,11900,52.6%,306,3.9,630,3 Years,Yes,2021-10-07
P0235,Micromax Ultra77Starlight,Micromax,Accessories,Keyboards,10400,1780,82.9%,468,3.0,2495,1 Year,No,2022-09-22
P0236,Kingston Lite57White,Kingston,Accessories,Mice,3040,1940,36.2%,666,4.9,1115,3 Years,Yes,2021-04-02
P0237,Nothing M51,Nothing,Accessories,Webcams,3610,1790,50.4%,752,4.3,4022,2 Years,Yes,2022-02-22
P0238,Motorola X73Black,Motorola,Accessories,Power Banks,2340,1610,31.2%,558,3.2,4506,1 Year,No,2024-03-05
P0239,iBall Ultra384GB,iBall,Accessories,USB Hubs,3900,580,85.1%,418,4.3,1140,3 Years,Yes,2020-09-23
P0240,iBall Plus10Silver,iBall,Accessories,Cables,1020,670,34.3%,490,4.1,4377,6 Months,Yes,2023-01-12
P0241,Intex Neo82Green,Intex,Accessories,Chargers,650,240,63.1%,787,3.3,2908,2 Years,Yes,2019-07-01
P0242,Gigabyte Plus97Starlight,Gigabyte,Storage,SSDs,6930,4430,36.1%,108,2.8,2119,2 Years,Yes,2024-10-25
P0243,MSI Neo29Space Gray,MSI,Storage,HDDs,6150,3030,50.7%,400,3.8,4821,2 Years,Yes,2019-04-11
P0244,Nothing Pro54512GB,Nothing,Storage,Pen Drives,650,240,63.1%,747,3.1,2555,3 Years,Yes,2021-04-27
P0245,HyperX Lite61Blue,HyperX,Networking,Routers,2600,1500,42.3%,739,4.3,2612,1 Year,Yes,2020-04-16
P0246,Samsung X87,Samsung,Electronics,Printers,31220,8880,71.6%,758,3.3,1429,2 Years,Yes,2023-10-13
P0247,iQOO Plus818GB,iQOO,Electronics,Cameras,32180,11610,63.9%,655,4.2,3240,1 Year,Yes,2021-03-19
P0248,Vivo Plus50Space Gray,Vivo,Electronics,Smart TVs,12580,8880,29.4%,210,3.4,512,1 Year,Yes,2021-02-04
P0249,Philips S59,Philips,Accessories,Gaming Gear,2370,840,64.6%,686,4.7,4323,3 Years,Yes,2023-05-27
P0250,Corsair Lite46512GB,Corsair,Accessories,Microphones,8500,5660,33.4%,176,4.6,2436,1 Year,Yes,2022-07-06
P0251,Realme Pro158GB,Realme,Electronics,Smartphones,31990,17230,46.1%,710,3.1,3182,6 Months,Yes,2023-04-21
P0252,Oppo Ultra82,Oppo,Electronics,Laptops,95440,63440,33.5%,660,4.8,1419,2 Years,Yes,2020-07-28
P0253,Logitech Ultra80,Logitech,Electronics,Tablets,19030,15090,20.7%,367,4.9,3969,2 Years,Yes,2023-04-22
P0254,MSI Ultra53Red,MSI,Electronics,Headphones,32720,13920,57.5%,727,4.6,4003,2 Years,Yes,2019-05-07
P0255,TCL Pro58GB,TCL,Electronics,Earbuds,9300,2020,78.3%,550,3.4,3746,6 Months,Yes,2020-04-08
P0256,Gigabyte Pro70512GB,Gigabyte,Electronics,Speakers,12720,9280,27.0%,774,2.9,3615,2 Years,No,2020-02-24
P0257,Lava S39Starlight,Lava,Electronics,Smartwatches,3110,1520,51.1%,269,3.6,712,6 Months,Yes,2020-04-25
P0258,Itel S958GB,Itel,Electronics,Fitness Bands,5820,3470,40.4%,727,4.1,3507,2 Years,Yes,2021-04-26
P0259,Belkin Neo45128GB,Belkin,Electronics,Monitors,41880,14210,66.1%,611,4.0,2651,3 Years,Yes,2021-12-31
P0260,Sennheiser X18,Sennheiser,Accessories,Keyboards,7040,660,90.6%,283,4.7,1039,2 Years,Yes,2022-08-12
P0261,WD Plus63,WD,Accessories,Mice,1460,730,50.0%,642,3.7,3702,1 Year,Yes,2020-01-17
P0262,Motorola Pro89Red,Motorola,Accessories,Webcams,4020,2460,38.8%,499,3.5,20,1 Year,Yes,2024-02-21
P0263,SanDisk Lite9,SanDisk,Accessories,Power Banks,3960,1290,67.4%,439,4.6,4052,3 Years,Yes,2022-03-07
P0264,Fitbit Neo17Green,Fitbit,Accessories,USB Hubs,2820,2290,18.8%,351,4.8,396,1 Year,Yes,2024-02-26
P0265,Samsung M57512GB,Samsung,Accessories,Cables,1030,60,94.2%,438,3.2,1080,3 Years,Yes,2022-01-27
P0266,Lenovo Lite33Starlight,Lenovo,Accessories,Chargers,640,370,42.2%,680,4.8,1355,1 Year,Yes,2022-06-05
P0267,Micromax Plus848GB,Micromax,Storage,SSDs,2990,2340,21.7%,97,2.8,3906,1 Year,Yes,2021-07-15
P0268,HyperX Ultra2,HyperX,Storage,HDDs,2560,1850,27.7%,123,5.0,3459,2 Years,Yes,2021-07-26
P0269,LG X14256GB,LG,Storage,Pen Drives,1580,930,41.1%,306,3.1,1090,2 Years,Yes,2019-02-04
P0270,Kingston M57Starlight,Kingston,Networking,Routers,6750,2340,65.3%,643,4.4,3372,6 Months,Yes,2019-12-22
P0271,OnePlus X761TB,OnePlus,Electronics,Printers,28920,16080,44.4%,359,4.9,2576,2 Years,Yes,2019-12-12
P0272,WD Neo77Green,WD,Electronics,Cameras,45340,7260,84.0%,674,4.7,1683,2 Years,Yes,2022-04-25
P0273,Transcend S64128GB,Transcend,Electronics,Smart TVs,62580,15390,75.4%,246,3.9,4865,1 Year,Yes,2019-02-19
P0274,Philips M50,Philips,Accessories,Gaming Gear,14600,9610,34.2%,430,3.6,1415,6 Months,No,2019-10-26
P0275,Samsung X2Space Gray,Samsung,Accessories,Microphones,5290,1480,72.0%,40,4.8,3260,3 Years,Yes,2024-08-14
P0276,Itel Plus90Silver,Itel,Electronics,Smartphones,60730,10400,82.9%,655,4.0,1250,3 Years,Yes,2019-11-20
P0277,Sennheiser M694GB,Sennheiser,Electronics,Laptops,67830,43610,35.7%,600,4.2,541,3 Years,Yes,2021-09-04
P0278,Dell X568GB,Dell,Electronics,Tablets,27200,15430,43.3%,626,4.1,2533,2 Years,Yes,2020-07-16
P0279,Intex M6464GB,Intex,Electronics,Headphones,23220,17440,24.9%,529,4.5,2123,2 Years,Yes,2022-01-05
P0280,Micromax A43512GB,Micromax,Electronics,Earbuds,14370,4640,67.7%,536,2.9,4723,1 Year,Yes,2024-09-23
P0281,Philips Ultra73128GB,Philips,Electronics,Speakers,6170,3410,44.7%,161,3.4,842,1 Year,Yes,2024-09-15
P0282,Apple A32128GB,Apple,Electronics,Smartwatches,4010,2530,36.9%,372,3.6,1229,2 Years,No,2019-05-25
P0283,MSI Plus29Starlight,MSI,Electronics,Fitness Bands,3640,1620,55.5%,426,4.8,2620,3 Years,Yes,2023-03-08
P0284,Realme A23Red,Realme,Electronics,Monitors,21630,18180,16.0%,528,5.0,3284,1 Year,Yes,2022-03-02
P0285,Itel Lite1232GB,Itel,Accessories,Keyboards,9360,3920,58.1%,8,3.6,2388,3 Years,Yes,2021-09-20
P0286,iQOO Neo64Black,iQOO,Accessories,Mice,6630,1780,73.2%,750,4.8,2008,2 Years,Yes,2023-08-07
P0287,Samsung Max458GB,Samsung,Accessories,Webcams,6210,680,89.0%,343,2.8,3082,3 Years,Yes,2024-12-10
P0288,WD Ultra8Silver,WD,Accessories,Power Banks,1860,970,47.8%,95,2.9,1896,6 Months,Yes,2023-03-06
P0289,iQOO Neo13256GB,iQOO,Accessories,USB Hubs,2570,570,77.8%,652,4.6,613,1 Year,Yes,2020-06-19
P0290,WD Pro4132GB,WD,Accessories,Cables,900,390,56.7%,325,3.8,1913,1 Year,No,2020-07-11
P0291,Itel X20Space Gray,Itel,Accessories,Chargers,730,260,64.4%,460,3.8,3330,1 Year,Yes,2021-04-30
P0292,Vivo Ultra3432GB,Vivo,Storage,SSDs,3460,1080,68.8%,161,4.6,2492,1 Year,Yes,2022-09-04
P0293,JBL S46256GB,JBL,Storage,HDDs,5740,3600,37.3%,50,4.3,2131,2 Years,Yes,2023-07-15
P0294,Vivo Max32Green,Vivo,Storage,Pen Drives,690,420,39.1%,104,4.6,1145,1 Year,Yes,2021-06-29
P0295,MI Plus484GB,MI,Networking,Routers,11320,5880,48.1%,86,4.1,2120,1 Year,Yes,2019-09-22
P0296,Anker Ultra17Starlight,Anker,Electronics,Printers,8010,4860,39.3%,125,2.9,3776,1 Year,Yes,2023-11-10
P0297,Micromax Ultra4White,Micromax,Electronics,Cameras,58160,33460,42.5%,176,3.6,1533,3 Years,Yes,2020-08-31
P0298,Sony Neo79Midnight,Sony,Electronics,Smart TVs,44220,29210,33.9%,302,3.9,4511,6 Months,Yes,2022-02-19
P0299,LG Plus261TB,LG,Accessories,Gaming Gear,11030,8910,19.2%,255,4.2,4453,1 Year,No,2023-01-10
P0300,Nothing Ultra45Green,Nothing,Accessories,Microphones,10270,4720,54.0%,329,3.7,1473,1 Year,Yes,2021-06-16
P0301,Samsung A6116GB,Samsung,Electronics,Smartphones,77390,28420,63.3%,785,4.1,1906,2 Years,Yes,2021-09-14
P0302,Asus A98Green,Asus,Electronics,Laptops,149230,46760,68.7%,589,4.7,3181,3 Years,No,2020-12-12
P0303,Logitech Neo418GB,Logitech,Electronics,Tablets,59030,46770,20.8%,28,4.3,2880,2 Years,Yes,2021-02-10
P0304,Marshall Pro23Green,Marshall,Electronics,Headphones,32640,1540,95.3%,92,2.9,4928,2 Years,Yes,2024-05-11
P0305,Apple Neo26,Apple,Electronics,Earbuds,4570,1580,65.4%,734,3.2,2650,1 Year,Yes,2020-08-03
P0306,Itel Max47512GB,Itel,Electronics,Speakers,3080,1930,37.3%,721,4.9,3240,1 Year,Yes,2022-08-14
P0307,MI Plus82,MI,Electronics,Smartwatches,32930,21870,33.6%,324,3.2,4603,3 Years,Yes,2020-12-19
P0308,LG Pro1732GB,LG,Electronics,Fitness Bands,2450,600,75.5%,718,4.9,3207,1 Year,Yes,2022-07-27
P0309,Kingston Neo148GB,Kingston,Electronics,Monitors,39520,9610,75.7%,339,4.4,1949,3 Years,No,2020-11-18
P0310,SanDisk Lite58256GB,SanDisk,Accessories,Keyboards,480,250,47.9%,214,3.3,555,3 Years,Yes,2020-03-18
P0311,Micromax A5064GB,Micromax,Accessories,Mice,3890,3180,18.3%,429,4.9,3391,6 Months,Yes,2022-12-09
P0312,Razer X62White,Razer,Accessories,Webcams,7460,2450,67.2%,166,3.8,273,3 Years,Yes,2021-12-05
P0313,OnePlus Lite22256GB,OnePlus,Accessories,Power Banks,3770,1060,71.9%,749,3.0,762,3 Years,Yes,2024-05-31
P0314,iBall Plus8464GB,iBall,Accessories,USB Hubs,1170,920,21.4%,444,3.1,829,3 Years,Yes,2021-02-17
P0315,Google Max34Green,Google,Accessories,Cables,1450,350,75.9%,304,3.3,406,6 Months,Yes,2024-07-03
P0316,JBL Lite1128GB,JBL,Accessories,Chargers,2050,360,82.4%,301,4.6,4916,6 Months,Yes,2019-04-16
P0317,Belkin Pro11,Belkin,Storage,SSDs,9260,7810,15.7%,118,3.5,3256,6 Months,Yes,2021-12-21
P0318,Lenovo Max50Starlight,Lenovo,Storage,HDDs,4010,2260,43.6%,390,3.6,3651,1 Year,Yes,2024-03-19
P0319,Seagate Pro738GB,Seagate,Storage,Pen Drives,550,260,52.7%,770,4.3,792,1 Year,Yes,2023-08-23
P0320,TCL S71Space Gray,TCL,Networking,Routers,2000,1390,30.5%,535,3.7,4386,6 Months,Yes,2021-08-23
P0321,Nothing X5132GB,Nothing,Electronics,Printers,34580,4640,86.6%,514,4.1,4233,2 Years,Yes,2024-01-14
P0322,Logitech S25,Logitech,Electronics,Cameras,24540,6200,74.7%,433,3.0,3566,2 Years,No,2020-08-28
P0323,Crucial Lite9416GB,Crucial,Electronics,Smart TVs,117820,16780,85.8%,89,3.7,3255,3 Years,Yes,2024-10-29
P0324,iQOO Neo7664GB,iQOO,Accessories,Gaming Gear,9060,6700,26.0%,429,3.0,1225,2 Years,Yes,2020-02-15
P0325,OnePlus X37Space Gray,OnePlus,Accessories,Microphones,9770,7810,20.1%,352,4.7,2163,6 Months,Yes,2024-04-21
P0326,Sony Pro52,Sony,Electronics,Smartphones,26860,18160,32.4%,39,3.7,2715,2 Years,Yes,2024-04-30
P0327,Asus A44Black,Asus,Electronics,Laptops,132140,57720,56.3%,318,3.4,4027,1 Year,No,2021-07-22
P0328,MI Ultra4232GB,MI,Electronics,Tablets,47310,31880,32.6%,426,4.1,731,2 Years,Yes,2023-07-26
P0329,Lava Max48Blue,Lava,Electronics,Headphones,4180,2410,42.3%,162,2.9,4151,6 Months,Yes,2024-11-17
P0330,Gigabyte M2564GB,Gigabyte,Electronics,Earbuds,6880,650,90.6%,255,2.9,414,3 Years,Yes,2022-01-27
P0331,Philips Max51Gold,Philips,Electronics,Speakers,21520,2430,88.7%,697,2.9,3051,6 Months,Yes,2020-12-28
P0332,Nothing Max45Space Gray,Nothing,Electronics,Smartwatches,23560,5960,74.7%,264,4.4,740,3 Years,Yes,2019-07-23
P0333,Bose S29Space Gray,Bose,Electronics,Fitness Bands,6300,2440,61.3%,693,3.3,3354,1 Year,Yes,2019-02-06
P0334,Nothing M771TB,Nothing,Electronics,Monitors,59480,5550,90.7%,229,3.4,2502,3 Years,Yes,2023-03-23
P0335,Garmin Pro28Gold,Garmin,Accessories,Keyboards,7940,2660,66.5%,693,3.9,3253,1 Year,Yes,2023-03-13
P0336,MSI Neo78Starlight,MSI,Accessories,Mice,2610,790,69.7%,700,3.0,522,3 Years,No,2022-08-24
P0337,Asus Pro2516GB,Asus,Accessories,Webcams,2230,1660,25.6%,783,3.3,465,6 Months,Yes,2020-07-27
P0338,Micromax Ultra3864GB,Micromax,Accessories,Power Banks,2820,2260,19.9%,428,3.7,289,2 Years,Yes,2021-06-29
P0339,Portronics Ultra86Green,Portronics,Accessories,USB Hubs,1970,1340,32.0%,307,4.7,4573,2 Years,Yes,2024-04-12
P0340,MI Max9816GB,MI,Accessories,Cables,470,230,51.1%,670,3.0,2910,2 Years,Yes,2022-06-11
P0341,Google Lite34,Google,Accessories,Chargers,2700,780,71.1%,474,4.7,3854,1 Year,Yes,2019-10-19
P0342,Nothing Max164GB,Nothing,Storage,SSDs,12650,7150,43.5%,542,3.5,442,2 Years,Yes,2021-03-31
P0343,Fitbit Neo59Silver,Fitbit,Storage,HDDs,3670,2150,41.4%,732,3.2,662,6 Months,Yes,2020-12-25
P0344,boAt A1Starlight,boAt,Storage,Pen Drives,2150,740,65.6%,214,4.5,1381,2 Years,Yes,2019-12-27
P0345,MI Plus82Midnight,MI,Networking,Routers,8030,3900,51.4%,439,4.9,3140,1 Year,Yes,2021-03-27
P0346,Micromax A42Black,Micromax,Electronics,Printers,29800,20900,29.9%,195,2.8,33,2 Years,Yes,2022-11-11
P0347,Noise X501TB,Noise,Electronics,Cameras,73970,44080,40.4%,313,3.2,374,3 Years,No,2024-02-11
P0348,Micromax Neo68Red,Micromax,Electronics,Smart TVs,56280,36420,35.3%,703,5.0,2807,6 Months,Yes,2021-02-10
P0349,Bose A30White,Bose,Accessories,Gaming Gear,4170,3280,21.3%,134,3.3,179,2 Years,Yes,2019-06-03
P0350,LG Pro99Starlight,LG,Accessories,Microphones,9760,5700,41.6%,49,4.1,392,1 Year,Yes,2019-03-22
P0351,Dell Plus57512GB,Dell,Electronics,Smartphones,57840,13100,77.4%,560,3.4,1254,2 Years,Yes,2019-02-08
P0352,Noise X85Silver,Noise,Electronics,Laptops,93200,35690,61.7%,637,4.1,1123,6 Months,Yes,2020-03-05
P0353,Sennheiser X37Midnight,Sennheiser,Electronics,Tablets,26940,20860,22.6%,108,3.9,4988,2 Years,Yes,2024-11-12
P0354,Anker Plus38Black,Anker,Electronics,Headphones,11010,940,91.5%,561,3.9,1701,6 Months,Yes,2019-01-12
P0355,Apple X15,Apple,Electronics,Earbuds,19110,11140,41.7%,505,3.1,737,1 Year,Yes,2020-02-19
P0356,Seagate S59Starlight,Seagate,Electronics,Speakers,10400,4730,54.5%,475,2.9,1431,1 Year,Yes,2023-01-15
P0357,Portronics Plus95,Portronics,Electronics,Smartwatches,8590,1380,83.9%,776,4.8,79,2 Years,Yes,2020-11-29
P0358,Fitbit Ultra80Black,Fitbit,Electronics,Fitness Bands,3200,980,69.4%,381,4.6,1498,1 Year,Yes,2024-02-13
P0359,Asus Ultra54White,Asus,Electronics,Monitors,49520,15930,67.8%,115,3.1,480,2 Years,Yes,2024-05-31
P0360,Gigabyte Ultra24,Gigabyte,Accessories,Keyboards,10310,3290,68.1%,797,3.6,236,2 Years,Yes,2024-06-22
P0361,Realme Ultra6Silver,Realme,Accessories,Mice,820,450,45.1%,670,3.5,4299,2 Years,No,2022-10-17
P0362,HyperX Neo13Red,HyperX,Accessories,Webcams,4540,3310,27.1%,744,3.3,2832,6 Months,Yes,2019-08-12
P0363,Apple M65Starlight,Apple,Accessories,Power Banks,4540,2430,46.5%,169,3.0,4027,3 Years,Yes,2022-02-13
P0364,Dell S71Red,Dell,Accessories,USB Hubs,3130,1850,40.9%,412,4.6,645,6 Months,Yes,2024-01-10
P0365,Lenovo Ultra41Blue,Lenovo,Accessories,Cables,340,190,44.1%,763,4.2,840,6 Months,Yes,2019-01-01
P0366,Lenovo Neo82Midnight,Lenovo,Accessories,Chargers,1550,1220,21.3%,575,3.3,3737,3 Years,Yes,2019-08-11
P0367,TP-Link Lite72Gold,TP-Link,Storage,SSDs,14070,8650,38.5%,733,4.2,3707,1 Year,Yes,2021-06-27
P0368,Apple Lite82,Apple,Storage,HDDs,4890,3740,23.5%,534,3.6,870,1 Year,Yes,2024-07-09
P0369,MI X33Silver,MI,Storage,Pen Drives,2800,580,79.3%,192,3.1,3218,2 Years,Yes,2021-02-19
P0370,iBall X97,iBall,Networking,Routers,7790,980,87.4%,648,4.6,4823,1 Year,Yes,2024-01-20
P0371,iQOO Neo65,iQOO,Electronics,Printers,9410,7590,19.3%,4,4.0,397,6 Months,Yes,2024-06-01
P0372,Sennheiser Neo23,Sennheiser,Electronics,Cameras,24830,7200,71.0%,396,4.2,4965,3 Years,Yes,2023-04-25
P0373,Google S36Midnight,Google,Electronics,Smart TVs,64150,30470,52.5%,301,3.8,1092,2 Years,Yes,2024-09-29
P0374,Noise Lite92Green,Noise,Accessories,Gaming Gear,12570,9370,25.5%,647,3.3,1717,3 Years,Yes,2020-06-27
P0375,iBall M65Starlight,iBall,Accessories,Microphones,9890,6290,36.4%,652,3.5,945,3 Years,Yes,2023-09-06
P0376,Portronics Pro55Green,Portronics,Electronics,Smartphones,9670,7140,26.2%,109,2.9,1190,1 Year,Yes,2021-03-29
P0377,Asus Pro88,Asus,Electronics,Laptops,57840,22800,60.6%,63,4.3,2417,2 Years,Yes,2019-05-13
P0378,Garmin X79Gold,Garmin,Electronics,Tablets,41400,32330,21.9%,662,4.0,1946,3 Years,Yes,2019-07-12
P0379,LG Plus88White,LG,Electronics,Headphones,20990,2060,90.2%,13,4.4,1663,6 Months,Yes,2023-02-15
P0380,TCL Max95Space Gray,TCL,Electronics,Earbuds,6740,1760,73.9%,301,3.8,610,2 Years,No,2024-10-05
P0381,Realme A55White,Realme,Electronics,Speakers,9840,4960,49.6%,270,3.1,4784,3 Years,Yes,2024-03-25
P0382,iBall A201TB,iBall,Electronics,Smartwatches,22140,2270,89.7%,792,4.9,2467,6 Months,Yes,2023-01-06
P0383,HP Max29,HP,Electronics,Fitness Bands,2500,1670,33.2%,69,4.5,1305,6 Months,Yes,2023-07-11
P0384,Lenovo S28Black,Lenovo,Electronics,Monitors,50470,26750,47.0%,339,3.6,1789,6 Months,No,2019-02-06
P0385,Realme Lite58,Realme,Accessories,Keyboards,4240,2810,33.7%,628,4.8,1997,1 Year,Yes,2022-08-07
P0386,LG Plus33512GB,LG,Accessories,Mice,4720,3140,33.5%,289,2.9,4234,3 Years,Yes,2024-09-14
P0387,Vivo A38Blue,Vivo,Accessories,Webcams,6340,2180,65.6%,328,3.9,786,2 Years,No,2024-12-24
P0388,Apple X27Starlight,Apple,Accessories,Power Banks,2440,1800,26.2%,434,4.6,1684,6 Months,Yes,2019-10-23
P0389,Lava M4,Lava,Accessories,USB Hubs,2380,1770,25.6%,339,2.9,600,1 Year,Yes,2021-10-28
P0390,MSI Neo30256GB,MSI,Accessories,Cables,630,270,57.1%,397,3.8,3313,6 Months,Yes,2023-05-15
P0391,Portronics Max1512GB,Portronics,Accessories,Chargers,2930,1660,43.3%,633,2.9,4797,1 Year,Yes,2019-10-25
P0392,Garmin X38Red,Garmin,Storage,SSDs,14390,5840,59.4%,621,3.0,3585,6 Months,Yes,2019-05-07
P0393,Nothing Max29,Nothing,Storage,HDDs,3620,3030,16.3%,400,4.6,4470,3 Years,No,2020-08-13
P0394,Noise Lite2,Noise,Storage,Pen Drives,2570,1320,48.6%,144,3.1,41,6 Months,Yes,2019-12-15
P0395,Noise Lite284GB,Noise,Networking,Routers,7760,5890,24.1%,524,3.1,1507,2 Years,Yes,2021-11-01
P0396,Anker M86512GB,Anker,Electronics,Printers,31200,22090,29.2%,55,4.7,4496,6 Months,Yes,2019-10-27
P0397,Acer X33,Acer,Electronics,Cameras,20870,8730,58.2%,743,4.1,2710,3 Years,Yes,2021-08-18
P0398,OnePlus Neo932GB,OnePlus,Electronics,Smart TVs,37360,18410,50.7%,497,3.8,2504,2 Years,Yes,2023-02-01
P0399,boAt M1Silver,boAt,Accessories,Gaming Gear,5630,2320,58.8%,226,4.4,3572,3 Years,Yes,2020-07-04
P0400,Portronics Ultra60,Portronics,Accessories,Microphones,8300,3540,57.3%,793,3.5,4519,1 Year,Yes,2019-12-02
P0401,Asus Max261TB,Asus,Electronics,Smartphones,42500,29040,31.7%,641,3.0,617,1 Year,Yes,2019-05-08
P0402,Corsair Plus99Space Gray,Corsair,Electronics,Laptops,102340,45890,55.2%,37,4.0,4452,6 Months,Yes,2020-08-31
P0403,Philips S99White,Philips,Electronics,Tablets,50140,16770,66.6%,475,3.9,741,6 Months,Yes,2019-02-13
P0404,Zebronics Neo888GB,Zebronics,Electronics,Headphones,11370,8720,23.3%,143,3.8,1467,2 Years,Yes,2024-06-03
P0405,Garmin S98128GB,Garmin,Electronics,Earbuds,16280,3980,75.6%,64,3.4,1917,1 Year,Yes,2024-10-22
P0406,Philips Ultra59White,Philips,Electronics,Speakers,2220,480,78.4%,664,3.5,4271,3 Years,Yes,2021-12-14
P0407,Corsair Neo23Green,Corsair,Electronics,Smartwatches,25680,13000,49.4%,374,4.1,637,3 Years,Yes,2021-07-01
P0408,HyperX Lite45White,HyperX,Electronics,Fitness Bands,4990,3850,22.8%,493,4.8,54,2 Years,Yes,2021-07-31
P0409,HP Pro28Red,HP,Electronics,Monitors,16850,8060,52.2%,161,3.6,969,2 Years,Yes,2022-09-14
P0410,Micromax Ultra87512GB,Micromax,Accessories,Keyboards,8140,4100,49.6%,215,4.1,3366,1 Year,Yes,2020-06-07
P0411,Gigabyte M18Space Gray,Gigabyte,Accessories,Mice,5460,4380,19.8%,40,4.8,1203,1 Year,Yes,2021-01-07
P0412,HyperX Neo73White,HyperX,Accessories,Webcams,6220,750,87.9%,736,4.4,2322,1 Year,Yes,2024-04-14
P0413,Nothing S53,Nothing,Accessories,Power Banks,1870,770,58.8%,638,4.3,2166,2 Years,Yes,2022-11-04
P0414,iQOO Neo9Midnight,iQOO,Accessories,USB Hubs,1440,690,52.1%,394,3.1,135,2 Years,Yes,2024-08-27
P0415,Portronics M78Silver,Portronics,Accessories,Cables,300,100,66.7%,487,4.8,4913,1 Year,Yes,2024-12-16
P0416,Sennheiser X62512GB,Sennheiser,Accessories,Chargers,3000,450,85.0%,617,4.0,9,6 Months,Yes,2023-02-26
P0417,Sony Plus30Red,Sony,Storage,SSDs,14640,8800,39.9%,787,3.6,4825,1 Year,Yes,2021-11-08
P0418,Nothing X378GB,Nothing,Storage,HDDs,7400,3730,49.6%,418,3.4,44,1 Year,Yes,2020-04-27
P0419,HyperX Plus8464GB,HyperX,Storage,Pen Drives,1140,880,22.8%,323,3.7,873,2 Years,Yes,2021-11-04
P0420,Seagate Plus73Green,Seagate,Networking,Routers,6990,5610,19.7%,282,5.0,3255,2 Years,Yes,2024-05-30
P0421,Logitech Max72Black,Logitech,Electronics,Printers,20850,7660,63.3%,314,4.1,3261,2 Years,Yes,2020-05-02
P0422,Lava Ultra908GB,Lava,Electronics,Cameras,29210,8780,69.9%,219,3.9,2772,1 Year,Yes,2019-01-22
P0423,Lenovo Ultra771TB,Lenovo,Electronics,Smart TVs,69060,13780,80.0%,65,3.4,3037,1 Year,Yes,2023-04-24
P0424,Motorola Max37Midnight,Motorola,Accessories,Gaming Gear,12160,1240,89.8%,792,4.6,4049,6 Months,Yes,2024-10-23
P0425,Acer A774GB,Acer,Accessories,Microphones,9360,4820,48.5%,715,3.3,1388,1 Year,Yes,2019-01-02
P0426,Bose Pro52256GB,Bose,Electronics,Smartphones,54280,30900,43.1%,415,4.1,4241,1 Year,Yes,2019-10-09
P0427,Lenovo Pro93Green,Lenovo,Electronics,Laptops,133760,91280,31.8%,596,3.6,2265,2 Years,Yes,2021-03-07
P0428,iQOO Neo1White,iQOO,Electronics,Tablets,46220,13740,70.3%,416,3.9,4576,1 Year,Yes,2022-10-24
P0429,Realme Pro69Red,Realme,Electronics,Headphones,16890,11670,30.9%,453,4.9,4613,6 Months,Yes,2022-10-23
